"DBN","School Name","Year","Total Enrollment","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multiple Race Categories Not Represented","% Multiple Race Categories Not Represented","# White","% White","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
"01M448","University Neighborhood High School","2018-19","483","0","0","0","0","0","0","0","0","0","0","131","139","120","93","230","47.6%","253","52.4%","178","36.9%","94","19.5%","184","38.1%","5","1%","22","4.6%","81","16.8%","71","14.7%","419","86.7%","82%"
"01M450","East Side Community School","2018-19","680","0","0","0","0","0","0","0","101","101","108","96","93","91","90","323","47.5%","357","52.5%","80","11.8%","113","16.6%","366","53.8%","17","2.5%","104","15.3%","184","27.1%","9","1.3%","452","66.5%","64.1%"
"01M458","Forsyth Satellite Academy","2018-19","194","0","0","0","0","0","0","0","0","0","0","19","46","77","52","103","53.1%","91","46.9%","0","0%","84","43.3%","98","50.5%","4","2.1%","8","4.1%","62","32%","11","5.7%","163","84%","84.8%"
"01M509","Marta Valle High School","2018-19","127","0","0","0","0","0","0","0","0","0","0","36","32","25","34","77","60.6%","50","39.4%","9","7.1%","47","37%","65","51.2%","3","2.4%","3","2.4%","35","27.6%","8","6.3%","112","88.2%","80.8%"
"01M515","Lower East Side Preparatory High School","2018-19","543","0","0","0","0","0","0","0","0","0","0","44","151","124","224","231","42.5%","312","57.5%","274","50.5%","51","9.4%","206","37.9%","2","0.4%","10","1.8%","42","7.7%","390","71.8%","377","69.4%","93.7%"
"01M539","New Explorations into Science, Technology and Math","2018-19","1,754","0","100","116","119","148","116","109","145","141","145","162","154","158","141","833","47.5%","921","52.5%","584","33.3%","118","6.7%","199","11.3%","156","8.9%","697","39.7%","161","9.2%","28","1.6%","412","23.5%","25.9%"
"01M650","Cascades High School","2018-19","187","0","0","0","0","0","0","0","0","0","0","18","74","55","40","89","47.6%","98","52.4%","5","2.7%","90","48.1%","90","48.1%","0","0%","2","1.1%","39","20.9%","4","2.1%","157","84%","83.1%"
"01M696","Bard High School Early College","2018-19","615","0","0","0","0","0","0","0","0","0","0","173","169","128","145","379","61.6%","236","38.4%","178","28.9%","66","10.7%","108","17.6%","15","2.4%","248","40.3%","48","7.8%","1","0.2%","247","40.2%","39%"
"01M839","Tompkins Square Middle School","2018-19","362","0","0","0","0","0","0","0","120","122","120","0","0","0","0","193","53.3%","169","46.7%","78","21.5%","47","13%","147","40.6%","14","3.9%","76","21%","99","27.3%","7","1.9%","244","67.4%","65.9%"
"02M001","P.S. 001 Alfred E. Smith","2018-19","295","29","35","40","42","47","47","55","0","0","0","0","0","0","0","137","46.4%","158","53.6%","147","49.8%","53","18%","84","28.5%","4","1.4%","7","2.4%","81","27.5%","56","19%","223","75.6%","81.4%"
"02M002","P.S. 002 Meyer London","2018-19","483","20","63","84","67","78","79","92","0","0","0","0","0","0","0","220","45.5%","263","54.5%","367","76%","39","8.1%","71","14.7%","0","0%","6","1.2%","109","22.6%","153","31.7%","450","93.2%","89.1%"
"02M003","P.S. 003 Charrette School","2018-19","731","54","125","111","127","100","99","115","0","0","0","0","0","0","0","357","48.8%","374","51.2%","69","9.4%","39","5.3%","119","16.3%","43","5.9%","461","63.1%","143","19.6%","32","4.4%","163","22.3%","17.5%"
"02M006","P.S. 006 Lillie D. Blake","2018-19","671","83","104","109","100","90","86","99","0","0","0","0","0","0","0","343","51.1%","328","48.9%","115","17.1%","16","2.4%","41","6.1%","11","1.6%","488","72.7%","103","15.4%","22","3.3%","82","12.2%","10.2%"
"02M011","P.S. 011 William T. Harris","2018-19","888","18","153","137","155","145","134","146","0","0","0","0","0","0","0","430","48.4%","458","51.6%","137","15.4%","51","5.7%","216","24.3%","75","8.4%","409","46.1%","133","15%","29","3.3%","276","31.1%","33.6%"
"02M033","P.S. 033 Chelsea Prep","2018-19","632","33","81","114","94","99","113","98","0","0","0","0","0","0","0","315","49.8%","317","50.2%","149","23.6%","116","18.4%","182","28.8%","56","8.9%","129","20.4%","93","14.7%","38","6%","308","48.7%","48.7%"
"02M040","P.S. 040 Augustus Saint-Gaudens","2018-19","708","35","125","138","125","96","93","96","0","0","0","0","0","0","0","357","50.4%","351","49.6%","86","12.1%","12","1.7%","99","14%","72","10.2%","439","62%","113","16%","18","2.5%","81","11.4%","13.9%"
"02M041","P.S. 041 Greenwich Village","2018-19","694","53","110","112","95","118","90","116","0","0","0","0","0","0","0","355","51.2%","339","48.8%","51","7.3%","10","1.4%","63","9.1%","90","13%","480","69.2%","112","16.1%","11","1.6%","49","7.1%","7.6%"
"02M042","P.S. 042 Benjamin Altman","2018-19","574","34","82","105","98","91","81","83","0","0","0","0","0","0","0","277","48.3%","297","51.7%","497","86.6%","8","1.4%","43","7.5%","3","0.5%","23","4%","96","16.7%","187","32.6%","400","69.7%","78.5%"
"02M047","47 The American Sign Language and English Secondar","2018-19","196","0","0","0","0","0","0","0","0","0","0","76","35","46","39","140","71.4%","56","28.6%","6","3.1%","54","27.6%","126","64.3%","1","0.5%","9","4.6%","53","27%","9","4.6%","173","88.3%","76.8%"
"02M051","P.S. 051 Elias Howe","2018-19","481","71","64","77","73","68","64","64","0","0","0","0","0","0","0","246","51.1%","235","48.9%","62","12.9%","71","14.8%","229","47.6%","14","2.9%","105","21.8%","94","19.5%","35","7.3%","270","56.1%","58.1%"
"02M059","P.S. 059 Beekman Hill International","2018-19","598","20","100","111","102","104","96","65","0","0","0","0","0","0","0","306","51.2%","292","48.8%","119","19.9%","8","1.3%","63","10.5%","61","10.2%","347","58%","83","13.9%","28","4.7%","68","11.4%","7.8%"
"02M077","P.S. 77 Lower Lab School","2018-19","360","0","50","60","64","64","64","58","0","0","0","0","0","0","0","174","48.3%","186","51.7%","118","32.8%","1","0.3%","17","4.7%","42","11.7%","182","50.6%","32","8.9%","0","0%","39","10.8%","9.1%"
"02M089","P.S. 89","2018-19","456","35","88","92","63","47","61","70","0","0","0","0","0","0","0","218","47.8%","238","52.2%","87","19.1%","7","1.5%","54","11.8%","38","8.3%","270","59.2%","65","14.3%","28","6.1%","40","8.8%","9.2%"
"02M104","J.H.S. 104 Simon Baruch","2018-19","1,116","0","0","0","0","0","0","0","374","365","377","0","0","0","0","540","48.4%","576","51.6%","389","34.9%","84","7.5%","196","17.6%","57","5.1%","390","34.9%","174","15.6%","54","4.8%","478","42.8%","39.8%"
"02M111","P.S. 111 Adolph S. Ochs","2018-19","413","48","69","56","52","73","57","58","0","0","0","0","0","0","0","190","46%","223","54%","65","15.7%","56","13.6%","194","47%","17","4.1%","81","19.6%","90","21.8%","41","9.9%","233","56.4%","57.5%"
"02M114","East Side Middle School","2018-19","451","0","0","0","0","0","0","0","151","148","152","0","0","0","0","259","57.4%","192","42.6%","63","14%","13","2.9%","53","11.8%","33","7.3%","289","64.1%","75","16.6%","0","0%","73","16.2%","12.8%"
"02M116","P.S. 116 Mary Lindley Murray","2018-19","504","54","74","84","73","63","81","75","0","0","0","0","0","0","0","270","53.6%","234","46.4%","112","22.2%","45","8.9%","99","19.6%","33","6.5%","215","42.7%","86","17.1%","25","5%","163","32.3%","33.8%"
"02M124","P.S. 124 Yung Wing","2018-19","675","59","95","106","116","106","100","93","0","0","0","0","0","0","0","336","49.8%","339","50.2%","631","93.5%","0","0%","14","2.1%","20","3%","10","1.5%","86","12.7%","172","25.5%","354","52.4%","59.9%"
"02M126","P.S. 126 Jacob August Riis","2018-19","712","21","53","66","57","55","62","61","115","114","108","0","0","0","0","338","47.5%","374","52.5%","458","64.3%","62","8.7%","122","17.1%","23","3.2%","47","6.6%","148","20.8%","105","14.7%","544","76.4%","75.3%"
"02M130","P.S. 130 Hernando De Soto","2018-19","858","35","119","138","116","119","156","175","0","0","0","0","0","0","0","405","47.2%","453","52.8%","749","87.3%","7","0.8%","48","5.6%","30","3.5%","24","2.8%","139","16.2%","137","16%","385","44.9%","54.5%"
"02M131","M.S. 131","2018-19","401","0","0","0","0","0","0","0","101","134","166","0","0","0","0","159","39.7%","242","60.3%","320","79.8%","26","6.5%","45","11.2%","3","0.7%","7","1.7%","99","24.7%","101","25.2%","357","89%","83.1%"
"02M135","The Urban Assembly School for Emergency Management","2018-19","265","0","0","0","0","0","0","0","0","0","0","78","75","56","56","141","53.2%","124","46.8%","15","5.7%","76","28.7%","159","60%","7","2.6%","8","3%","56","21.1%","9","3.4%","223","84.2%","80.5%"
"02M139","Stephen T. Mather Building Arts & Craftsmanship Hi","2018-19","401","0","0","0","0","0","0","0","0","0","0","117","114","92","78","146","36.4%","255","63.6%","17","4.2%","106","26.4%","253","63.1%","8","2%","17","4.2%","101","25.2%","29","7.2%","318","79.3%","81.6%"
"02M150","P.S. 150","2018-19","189","18","28","30","29","30","29","25","0","0","0","0","0","0","0","90","47.6%","99","52.4%","39","20.6%","1","0.5%","18","9.5%","17","9%","114","60.3%","21","11.1%","4","2.1%","33","17.5%","13.6%"
"02M151","Yorkville Community School","2018-19","486","58","67","59","79","70","60","93","0","0","0","0","0","0","0","251","51.6%","235","48.4%","32","6.6%","72","14.8%","114","23.5%","30","6.2%","238","49%","89","18.3%","20","4.1%","184","37.9%","36.8%"
"02M158","P.S. 158 Bayard Taylor","2018-19","796","72","135","135","109","120","124","101","0","0","0","0","0","0","0","379","47.6%","417","52.4%","103","12.9%","16","2%","64","8%","52","6.5%","561","70.5%","117","14.7%","43","5.4%","93","11.7%","10.8%"
"02M167","J.H.S. 167 Robert F. Wagner","2018-19","1,379","0","0","0","0","0","0","0","464","448","467","0","0","0","0","623","45.2%","756","54.8%","251","18.2%","94","6.8%","226","16.4%","75","5.4%","733","53.2%","238","17.3%","41","3%","419","30.4%","28.3%"
"02M177","Yorkville East Middle School","2018-19","230","0","0","0","0","0","0","0","78","76","76","0","0","0","0","119","51.7%","111","48.3%","15","6.5%","20","8.7%","53","23%","9","3.9%","133","57.8%","59","25.7%","3","1.3%","69","30%","26.4%"
"02M183","P.S. 183 Robert L. Stevenson","2018-19","554","40","99","89","93","78","83","72","0","0","0","0","0","0","0","269","48.6%","285","51.4%","88","15.9%","15","2.7%","47","8.5%","33","6%","371","67%","88","15.9%","34","6.1%","66","11.9%","6.3%"
"02M198","P.S. 198 Isador E. Ida Straus","2018-19","488","56","80","67","75","90","57","63","0","0","0","0","0","0","0","249","51%","239","49%","111","22.7%","51","10.5%","104","21.3%","21","4.3%","201","41.2%","104","21.3%","29","5.9%","197","40.4%","36%"
"02M212","P.S. 212 Midtown West","2018-19","363","36","53","52","61","54","57","50","0","0","0","0","0","0","0","189","52.1%","174","47.9%","60","16.5%","25","6.9%","85","23.4%","25","6.9%","168","46.3%","40","11%","8","2.2%","74","20.4%","24.5%"
"02M217","P.S./I.S. 217 Roosevelt Island","2018-19","617","31","95","89","68","73","85","88","29","31","28","0","0","0","0","317","51.4%","300","48.6%","179","29%","83","13.5%","88","14.3%","43","7%","224","36.3%","84","13.6%","86","13.9%","204","33.1%","28.6%"
"02M225","Ella Baker School","2018-19","324","38","47","41","29","38","35","30","30","11","25","0","0","0","0","156","48.1%","168","51.9%","19","5.9%","49","15.1%","99","30.6%","30","9.3%","127","39.2%","61","18.8%","5","1.5%","91","28.1%","34.5%"
"02M234","P.S. 234 Independence School","2018-19","638","0","135","106","94","109","100","94","0","0","0","0","0","0","0","313","49.1%","325","50.9%","56","8.8%","11","1.7%","56","8.8%","55","8.6%","460","72.1%","103","16.1%","8","1.3%","66","10.3%","8.4%"
"02M255","M.S. 255 Salk School of Science","2018-19","394","0","0","0","0","0","0","0","135","128","131","0","0","0","0","230","58.4%","164","41.6%","72","18.3%","8","2%","38","9.6%","32","8.1%","244","61.9%","62","15.7%","1","0.3%","56","14.2%","13.7%"
"02M260","The Clinton School","2018-19","726","0","0","0","0","0","0","0","97","97","99","121","128","105","79","494","68%","232","32%","92","12.7%","29","4%","90","12.4%","53","7.3%","462","63.6%","121","16.7%","2","0.3%","116","16%","20%"
"02M267","East Side Elementary School, PS 267","2018-19","414","0","89","83","71","64","54","53","0","0","0","0","0","0","0","204","49.3%","210","50.7%","52","12.6%","4","1%","43","10.4%","12","2.9%","303","73.2%","57","13.8%","19","4.6%","52","12.6%","8.3%"
"02M276","Battery Park City School","2018-19","849","18","100","87","92","86","96","88","97","94","91","0","0","0","0","402","47.3%","447","52.7%","172","20.3%","34","4%","116","13.7%","80","9.4%","447","52.7%","156","18.4%","27","3.2%","128","15.1%","16.3%"
"02M280","Manhattan Early College School for Advertising","2018-19","416","0","0","0","0","0","0","0","0","0","0","120","104","95","97","222","53.4%","194","46.6%","41","9.9%","150","36.1%","187","45%","16","3.8%","22","5.3%","80","19.2%","16","3.8%","304","73.1%","72.4%"
"02M281","The River School","2018-19","338","36","74","77","51","40","28","32","0","0","0","0","0","0","0","167","49.4%","171","50.6%","110","32.5%","31","9.2%","42","12.4%","16","4.7%","139","41.1%","53","15.7%","59","17.5%","102","30.2%","19.3%"
"02M282","Urban Assembly Maker Academy","2018-19","390","0","0","0","0","0","0","0","0","0","0","116","118","89","67","118","30.3%","272","69.7%","32","8.2%","107","27.4%","192","49.2%","17","4.4%","42","10.8%","76","19.5%","15","3.8%","303","77.7%","70.2%"
"02M288","Food and Finance High School","2018-19","375","0","0","0","0","0","0","0","0","0","0","128","93","81","73","216","57.6%","159","42.4%","21","5.6%","130","34.7%","199","53.1%","15","4%","10","2.7%","75","20%","12","3.2%","310","82.7%","77.3%"
"02M289","I.S. 289","2018-19","284","0","0","0","0","0","0","0","98","93","93","0","0","0","0","125","44%","159","56%","138","48.6%","12","4.2%","42","14.8%","8","2.8%","84","29.6%","65","22.9%","14","4.9%","150","52.8%","47.6%"
"02M290","P.S. 290 Manhattan New School","2018-19","595","37","98","102","79","98","88","93","0","0","0","0","0","0","0","329","55.3%","266","44.7%","65","10.9%","17","2.9%","56","9.4%","36","6.1%","421","70.8%","85","14.3%","13","2.2%","79","13.3%","8.8%"
"02M294","Essex Street Academy","2018-19","339","0","0","0","0","0","0","0","0","0","0","89","98","81","71","191","56.3%","148","43.7%","22","6.5%","117","34.5%","145","42.8%","21","6.2%","34","10%","91","26.8%","12","3.5%","229","67.6%","68%"
"02M296","High School of Hospitality Management","2018-19","380","0","0","0","0","0","0","0","0","0","0","118","131","53","78","252","66.3%","128","33.7%","19","5%","105","27.6%","236","62.1%","13","3.4%","7","1.8%","98","25.8%","35","9.2%","342","90%","86%"
"02M297","M.S. 297","2018-19","561","0","0","0","0","0","0","0","341","220","0","0","0","0","0","289","51.5%","272","48.5%","48","8.6%","53","9.4%","129","23%","26","4.6%","305","54.4%","121","21.6%","19","3.4%","153","27.3%","29.6%"
"02M298","Pace High School","2018-19","572","0","0","0","0","0","0","0","0","0","0","155","137","159","121","324","56.6%","248","43.4%","26","4.5%","191","33.4%","310","54.2%","23","4%","22","3.8%","105","18.4%","17","3%","446","78%","73.6%"
"02M300","Urban Assembly School of Design and Construction,","2018-19","302","0","0","0","0","0","0","0","0","0","0","69","72","80","81","90","29.8%","212","70.2%","17","5.6%","69","22.8%","205","67.9%","3","1%","8","2.6%","78","25.8%","35","11.6%","241","79.8%","85.7%"
"02M303","Facing History School, The","2018-19","372","0","0","0","0","0","0","0","0","0","0","105","87","103","77","174","46.8%","198","53.2%","4","1.1%","95","25.5%","260","69.9%","5","1.3%","8","2.2%","92","24.7%","41","11%","294","79%","85.4%"
"02M305","Urban Assembly Academy of Government and Law, The","2018-19","324","0","0","0","0","0","0","0","0","0","0","125","77","67","55","189","58.3%","135","41.7%","19","5.9%","109","33.6%","183","56.5%","3","0.9%","10","3.1%","64","19.8%","13","4%","268","82.7%","84.5%"
"02M308","Lower Manhattan Arts Academy","2018-19","290","0","0","0","0","0","0","0","0","0","0","101","71","65","53","188","64.8%","102","35.2%","25","8.6%","80","27.6%","162","55.9%","15","5.2%","8","2.8%","106","36.6%","20","6.9%","218","75.2%","81.2%"
"02M312","New York City Lab Middle School for Collaborative","2018-19","563","0","0","0","0","0","0","0","196","180","187","0","0","0","0","251","44.6%","312","55.4%","360","63.9%","7","1.2%","30","5.3%","35","6.2%","131","23.3%","82","14.6%","9","1.6%","194","34.5%","37.1%"
"02M313","James Baldwin School, The: A School for Expedition","2018-19","245","0","0","0","0","0","0","0","0","0","0","19","55","60","111","122","49.8%","123","50.2%","6","2.4%","98","40%","128","52.2%","2","0.8%","11","4.5%","79","32.2%","21","8.6%","198","80.8%","79.3%"
"02M316","Urban Assembly School of Business for Young Women,","2018-19","179","0","0","0","0","0","0","0","0","0","0","49","42","49","39","179","100%","0","0%","9","5%","88","49.2%","66","36.9%","10","5.6%","6","3.4%","30","16.8%","13","7.3%","151","84.4%","81.9%"
"02M340","Sixth Avenue Elementary School","2018-19","339","72","75","56","60","41","35","0","0","0","0","0","0","0","0","165","48.7%","174","51.3%","29","8.6%","8","2.4%","39","11.5%","50","14.7%","213","62.8%","64","18.9%","4","1.2%","27","8%","12.1%"
"02M343","The Peck Slip School","2018-19","468","36","100","82","72","68","59","51","0","0","0","0","0","0","0","251","53.6%","217","46.4%","74","15.8%","19","4.1%","60","12.8%","66","14.1%","249","53.2%","85","18.2%","8","1.7%","60","12.8%","10.2%"
"02M347","The 47 American Sign Language & English Lower Scho","2018-19","193","56","18","21","11","20","11","9","16","10","21","0","0","0","0","100","51.8%","93","48.2%","7","3.6%","41","21.2%","85","44%","10","5.2%","50","25.9%","98","50.8%","38","19.7%","131","67.9%","70.4%"
"02M374","Gramercy Arts High School","2018-19","468","0","0","0","0","0","0","0","0","0","0","135","113","112","108","331","70.7%","137","29.3%","20","4.3%","157","33.5%","232","49.6%","29","6.2%","30","6.4%","79","16.9%","10","2.1%","370","79.1%","74.4%"
"02M376","NYC iSchool","2018-19","466","0","0","0","0","0","0","0","0","0","0","131","125","101","109","252","54.1%","214","45.9%","39","8.4%","69","14.8%","99","21.2%","46","9.9%","213","45.7%","75","16.1%","5","1.1%","159","34.1%","34.4%"
"02M391","District 2 Pre-K Center","2018-19","465","465","0","0","0","0","0","0","0","0","0","0","0","0","0","227","48.8%","238","51.2%","102","21.9%","25","5.4%","53","11.4%","50","10.8%","235","50.5%","38","8.2%","0","0%","43","9.2%","14.2%"
"02M392","MANHATTAN BUSINESS ACADEMY","2018-19","414","0","0","0","0","0","0","0","0","0","0","104","118","103","89","189","45.7%","225","54.3%","26","6.3%","92","22.2%","269","65%","7","1.7%","20","4.8%","87","21%","26","6.3%","360","87%","80.3%"
"02M393","Business Of Sports School","2018-19","429","0","0","0","0","0","0","0","0","0","0","131","115","101","82","158","36.8%","271","63.2%","5","1.2%","141","32.9%","263","61.3%","7","1.6%","13","3%","103","24%","35","8.2%","311","72.5%","79.3%"
"02M394","Emma Lazarus High School","2018-19","315","0","0","0","0","0","0","0","0","0","0","139","103","31","42","140","44.4%","175","55.6%","127","40.3%","55","17.5%","97","30.8%","8","2.5%","28","8.9%","0","0%","255","81%","294","93.3%","99.8%"
"02M397","Spruce Street School","2018-19","560","18","68","65","64","62","54","45","62","61","61","0","0","0","0","274","48.9%","286","51.1%","92","16.4%","22","3.9%","89","15.9%","59","10.5%","298","53.2%","114","20.4%","13","2.3%","95","17%","16.1%"
"02M399","The High School For Language And Diplomacy","2018-19","302","0","0","0","0","0","0","0","0","0","0","102","44","69","87","164","54.3%","138","45.7%","73","24.2%","70","23.2%","138","45.7%","9","3%","12","4%","53","17.5%","33","10.9%","228","75.5%","82.7%"
"02M400","High School for Environmental Studies","2018-19","1,146","0","0","0","0","0","0","0","0","0","0","289","312","271","274","580","50.6%","566","49.4%","125","10.9%","180","15.7%","735","64.1%","31","2.7%","75","6.5%","217","18.9%","100","8.7%","940","82%","78%"
"02M407","Institute for Collaborative Education","2018-19","486","0","0","0","0","0","0","0","66","71","72","67","71","68","71","242","49.8%","244","50.2%","34","7%","108","22.2%","93","19.1%","20","4.1%","231","47.5%","80","16.5%","2","0.4%","133","27.4%","35.1%"
"02M408","Professional Performing Arts High School","2018-19","558","0","0","0","0","0","0","0","31","57","35","119","98","117","101","402","72%","156","28%","39","7%","116","20.8%","114","20.4%","37","6.6%","252","45.2%","79","14.2%","1","0.2%","195","34.9%","36.2%"
"02M411","Baruch College Campus High School","2018-19","475","0","0","0","0","0","0","0","0","0","0","119","127","116","113","265","55.8%","210","44.2%","166","34.9%","17","3.6%","63","13.3%","27","5.7%","202","42.5%","60","12.6%","5","1.1%","184","38.7%","38.8%"
"02M412","N.Y.C. Lab School for Collaborative Studies","2018-19","471","0","0","0","0","0","0","0","0","0","0","110","118","130","113","246","52.2%","225","47.8%","88","18.7%","17","3.6%","58","12.3%","42","8.9%","266","56.5%","94","20%","3","0.6%","123","26.1%","29.2%"
"02M413","School of the Future High School","2018-19","749","0","0","0","0","0","0","0","102","97","105","117","107","110","111","365","48.7%","384","51.3%","150","20%","84","11.2%","181","24.2%","74","9.9%","260","34.7%","159","21.2%","5","0.7%","326","43.5%","41%"
"02M414","N.Y.C. Museum School","2018-19","449","0","0","0","0","0","0","0","0","0","0","125","116","113","95","260","57.9%","189","42.1%","108","24.1%","58","12.9%","160","35.6%","27","6%","96","21.4%","91","20.3%","4","0.9%","252","56.1%","54.7%"
"02M416","Eleanor Roosevelt High School","2018-19","530","0","0","0","0","0","0","0","0","0","0","132","136","134","128","317","59.8%","213","40.2%","81","15.3%","14","2.6%","53","10%","33","6.2%","349","65.8%","83","15.7%","0","0%","103","19.4%","19%"
"02M418","Millennium High School","2018-19","681","0","0","0","0","0","0","0","0","0","0","211","166","164","140","422","62%","259","38%","320","47%","26","3.8%","75","11%","42","6.2%","218","32%","84","12.3%","5","0.7%","336","49.3%","46.8%"
"02M419","Landmark High School","2018-19","330","0","0","0","0","0","0","0","0","0","0","74","82","86","88","176","53.3%","154","46.7%","10","3%","110","33.3%","195","59.1%","7","2.1%","8","2.4%","73","22.1%","18","5.5%","264","80%","81.3%"
"02M420","High School for Health Professions and Human Servi","2018-19","1,825","0","0","0","0","0","0","0","0","0","0","509","484","461","371","1,293","70.8%","532","29.2%","395","21.6%","287","15.7%","962","52.7%","40","2.2%","141","7.7%","243","13.3%","76","4.2%","1,268","69.5%","74.2%"
